Product_ID,Product_Name,Category,Brand,Cost_Price,Selling_Price,Supplier_ID,Launch_Date,Status
1001,Wireless Mouse,Electronics,Logitech,469,633,201,2023-07-18,Active
1002,Bluetooth Keyboard,Electronics,Logitech,696,1104,201,2025-01-21,Active
1003,USB-C Hub 7-in-1,Electronics,Anker,605,905,202,2023-03-24,Active
1004,Noise Cancelling Headphones,Electronics,Sony,4329,6579,203,2025-01-21,Active
1005,27-inch Monitor,Electronics,Dell,12310,18156,204,2022-01-14,Active
1006,Mechanical Keyboard,Electronics,Keychron,2514,4232,205,2023-07-24,Active
1007,Webcam 1080p,Electronics,Logitech,1251,1740,201,2022-07-09,Active
1008,Laptop Stand Aluminium,Accessories,Nexstand,364,677,206,2023-06-26,Active
1009,Desk Lamp LED,Furniture,Philips,556,906,207,2024-02-15,Active
1010,Office Chair Ergonomic,Furniture,Green Soul,7973,14359,208,2024-01-11,Active
1011,Wireless Charger 15W,Electronics,Anker,361,545,202,2023-04-12,Active
1012,Portable SSD 1TB,Electronics,Samsung,3666,5354,209,2022-07-26,Active
1013,Smart Watch Series 5,Wearables,Noise,2071,3733,210,2022-11-30,Active
1014,Fitness Band Pro,Wearables,Mi,895,1524,211,2022-05-27,Active
1015,Bluetooth Speaker,Electronics,JBL,1622,3136,212,2022-12-01,Active
1016,Power Bank 20000mAh,Electronics,Anker,829,1627,202,2025-02-14,Active
1017,Desk Organizer Wood,Accessories,Miniso,237,473,213,2022-04-25,Active
1018,Cable Management Kit,Accessories,Ugreen,155,336,214,2023-07-03,Active
1019,Gaming Mouse Pad XL,Accessories,Corsair,472,708,215,2023-10-07,Active
1020,4K Webcam,Electronics,Logitech,5799,9691,201,2024-07-28,Active
1021,Wireless Earbuds,Electronics,boAt,1070,2097,216,2025-01-08,Active
1022,Monitor Arm Dual,Accessories,Fleximounts,1641,2806,217,2024-03-28,Active
1023,Smart Plug WiFi,Electronics,TP-Link,322,463,218,2024-10-07,Active
1024,Laptop Backpack 15.6,Accessories,Wildcraft,769,1382,219,2022-11-24,Active
1025,Drawing Tablet,Electronics,Wacom,6055,8670,220,2024-02-21,Active
1026,Smart LED Bulb,Electronics,Syska,149,284,221,2025-02-07,Inactive
1027,Foldable Desk,Furniture,Durian,3584,7308,222,2025-01-04,Active
1028,Gaming Chair,Furniture,Green Soul,10590,15488,208,2023-08-25,Active
1029,Portable Projector,Electronics,MI,7396,13088,299,2023-06-24,Discontinued
1030,WiFi Router AC1200,Electronics,TP-Link,1294,2002,218,2022-08-06,Inactive
1031,Network Switch 8-Port,Electronics,D-Link,921,1643,236,2025-06-01,Active
1032,Surge Protector 6-in-1,Accessories,Belkin,625,931,235,2024-12-22,Inactive
1033,Cable Organizer Bag,Accessories,Ugreen,124,248,214,2022-08-18,Inactive
1034,Smartphone Stand,Accessories,Portronics,200,372,223,2023-09-22,Active
1035,USB Flash Drive 64GB,Electronics,SanDisk,258,506,224,2022-06-11,Active
1036,External HDD 2TB,Electronics,Seagate,3784,5482,225,2024-12-26,Active
1037,Keyboard Wrist Rest,Accessories,Kensington,284,546,226,2025-01-30,Active
1038,Monitor Cleaning Kit,Accessories,3M,181,356,227,2023-03-10,Inactive
1039,Laptop Cooling Pad,Accessories,Zebronics,700,1037,228,2023-10-01,Active
1040,Smart Speaker,Electronics,Amazon,2313,3410,229,2024-11-25,Active
1041,Action Camera 4K,Electronics,GoPro,13866,22819,230,2022-02-13,Active
1042,Ring Light 18-inch,Accessories,Digitek,1103,1887,231,2022-05-26,Active
1043,Tripod Flexible,Accessories,Joby,772,1369,232,2022-03-06,Inactive
1044,Microphone USB,Electronics,Blue,3921,6632,233,2024-09-21,Active
1045,Headphone Stand,Accessories,Satechi,694,1412,234,2025-03-15,Active
1046,Docking Station,Electronics,Dell,4799,7956,204,2024-04-13,Active
1047,Privacy Screen Filter,Accessories,3M,782,1478,227,2024-05-17,Active
1048,Ergonomic Mouse Vertical,Electronics,Anker,1087,1456,202,2022-07-21,Active
1049,Trackball Mouse,Electronics,Logitech,3419,5300,201,2022-08-12,Active
1050,Fingerprint Reader USB,Electronics,Kensington,1633,2968,226,2024-05-14,Active
1051,Wireless Mouse,Electronics,Logitech,445,751,201,2022-06-04,Active
1052,Bluetooth Keyboard,Electronics,Logitech,865,1211,201,2022-04-14,Active
1053,USB-C Hub 7-in-1,Electronics,Anker,628,902,202,2022-07-11,Inactive
1054,Noise Cancelling Headphones,Electronics,Sony,4639,6065,203,2024-09-21,Active
1055,27-inch Monitor,Electronics,Dell,13867,20528,204,2022-12-04,Active
1056,Mechanical Keyboard,Electronics,Keychron,3208,4097,205,2024-07-20,Active
1057,Webcam 1080p,Electronics,Logitech,1165,1882,201,2025-02-12,Active
1058,Laptop Stand Aluminium,Accessories,Nexstand,378,656,206,2023-03-22,Discontinued
1059,Desk Lamp LED,Furniture,Philips,532,907,207,2023-10-05,Active
1060,Office Chair Ergonomic,Furniture,Green Soul,8715,14007,208,2024-12-23,Active
1061,Wireless Charger 15W,Electronics,Anker,387,549,202,2023-01-16,Active
1062,Portable SSD 1TB,Electronics,Samsung,2785,5361,209,2024-04-06,Active
1063,Smart Watch Series 5,Wearables,Noise,2346,3321,210,2025-05-02,Active
1064,Fitness Band Pro,Wearables,Mi,857,1649,211,2025-03-03,Active
1065,Bluetooth Speaker,Electronics,JBL,2035,2822,212,2023-10-06,Active
1066,Power Bank 20000mAh,Electronics,Anker,862,1550,202,2023-09-07,Active
1067,Desk Organizer Wood,Accessories,Miniso,282,488,213,2022-01-20,Active
1068,Cable Management Kit,Accessories,Ugreen,207,384,214,2022-05-31,Active
1069,Gaming Mouse Pad XL,Accessories,Corsair,421,648,215,2023-12-16,Inactive
1070,4K Webcam,Electronics,Logitech,6460,8764,201,2022-11-20,Active
1071,Wireless Earbuds,Electronics,boAt,1216,1920,216,2024-12-19,Active
1072,Monitor Arm Dual,Accessories,Fleximounts,1752,2495,217,2022-08-01,Inactive
1073,Smart Plug WiFi,Electronics,TP-Link,249,461,218,2022-08-08,Active
1074,Laptop Backpack 15.6,Accessories,Wildcraft,798,1434,219,2023-03-08,Active
1075,Drawing Tablet,Electronics,Wacom,5649,9754,220,2023-06-25,Active
1076,Smart LED Bulb,Electronics,Syska,139,323,221,2022-04-15,Active
1077,Foldable Desk,Furniture,Durian,4104,6686,222,2022-01-08,Active
1078,Gaming Chair,Furniture,Green Soul,8715,17534,208,2022-11-27,Active
1079,Portable Projector,Electronics,MI,7616,11825,299,2022-01-20,Active
1080,WiFi Router AC1200,Electronics,TP-Link,1360,2075,218,2022-11-02,Active
1081,Network Switch 8-Port,Electronics,D-Link,1078,1625,236,2022-10-31,Active
1082,Surge Protector 6-in-1,Accessories,Belkin,561,972,235,2022-03-23,Inactive
1083,Cable Organizer Bag,Accessories,Ugreen,110,237,214,2022-07-30,Active
1084,Smartphone Stand,Accessories,Portronics,183,375,223,2025-06-25,Active
1085,USB Flash Drive 64GB,Electronics,SanDisk,316,473,224,2022-11-29,Discontinued
1086,External HDD 2TB,Electronics,Seagate,4154,6457,225,2022-02-20,Active
1087,Keyboard Wrist Rest,Accessories,Kensington,361,580,226,2024-04-23,Active
1088,Monitor Cleaning Kit,Accessories,3M,200,371,227,2023-07-01,Active
